,name,value
765,guitarist,0.9688294
766,band,0.9611761
767,festival,0.95451534
768,guitar,0.95101625
769,stage,0.9415417
770,pop music,0.9376399
771,performance,0.99708885
772,music,0.995407
773,concert,0.9908731
774,musician,0.98333836
775,singer,0.9811747
776,festival,0.9716015
777,band,0.95526755
778,guitarist,0.9486526
779,guitar,0.9375336
780,stage,0.9159111
781,people,0.90193975
782,people,0.98523897
783,music,0.9777298
784,musician,0.9755174
785,performance,0.9663665
786,one,0.9660687
787,singer,0.96545136
788,concert,0.9543855
789,adult,0.94665366
790,guitar,0.93207943
791,man,0.9246247
792,instrument,0.9186357
793,stringed instrument,0.9080075
794,guitarist,0.9022662
795,performance,0.9970886
796,music,0.99698174
797,concert,0.9922498
798,musician,0.98915666
799,singer,0.98551667
800,guitarist,0.98112416
801,guitar,0.9781848
802,stringed instrument,0.9483558
803,instrument,0.92714655
804,festival,0.9258097
805,stage,0.9201553
806,people,0.9192765
807,one,0.9168603
808,rock,0.9111552
809,band,0.909003
810,music,0.9948206
811,performance,0.9903787
812,concert,0.9771384
813,guitar,0.9692035
814,musician,0.968765
815,singer,0.9652744
816,guitarist,0.95102316
817,one,0.93708587
818,people,0.93292046
819,stage,0.92021334
820,instrument,0.90744245
821,stringed instrument,0.9072759
822,performance,0.99880785
823,concert,0.9968304
824,music,0.9962115
825,singer,0.9865725
826,musician,0.9834628
827,stage,0.98008883
828,festival,0.9538568
829,band,0.9502803
830,pop music,0.9105227
831,performance,0.99867964
832,music,0.9976013
833,concert,0.9971596
834,singer,0.99371254
835,musician,0.9922255
836,stage,0.9808801
837,band,0.9785734
838,pop music,0.97511464
839,festival,0.96036106
840,guitarist,0.96016073
841,guitar,0.9546649
842,rap,0.9220234
843,rocker,0.9113542
844,punk,0.9053371
845,music,0.9987205
846,performance,0.9976536
847,concert,0.99487376
848,musician,0.9889382
849,guitar,0.98275954
850,singer,0.980297
851,festival,0.97979736
852,band,0.9758775
853,stage,0.9608499
854,guitarist,0.9511359
855,pop music,0.9174628
856,stringed instrument,0.91519177
857,instrument,0.91254723
