,name,value
1055,competition,0.9995003
1056,game,0.9913868
1057,stadium,0.9903388
1058,ball,0.9897125
1059,tennis,0.98138285
1060,people,0.976642
1061,football,0.9736531
1062,tennis match,0.96183324
1063,athlete,0.96016586
1064,tennis ball,0.94086117
1065,racket,0.93472975
1066,match,0.9330038
1067,sports equipment,0.92564666
1068,soccer,0.9157685
1069,action,0.91156447
1070,tournament,0.91068673
1071,group together,0.9059143
1072,tennis player,0.90525603
1073,stadium,0.9989005
1074,competition,0.99889207
1075,game,0.9814924
1076,sport,0.9785845
1077,ball,0.9649859
1078,soccer,0.95720303
1079,football,0.94969845
1080,tennis,0.9485589
1081,cup,0.9273107
1082,people,0.92416674
1083,spectator,0.9195445
1084,match,0.9158429
1085,many,0.90913
1086,competition,0.9946078
1087,people,0.9827566
1088,athlete,0.9782157
1089,wear,0.97245634
1090,football,0.9624761
1091,outfit,0.96202576
1092,man,0.9608977
1093,adult,0.9604367
1094,uniform,0.9571861
1095,stadium,0.94277215
1096,action,0.9402609
1097,ball,0.90980196
1098,competition,0.99717486
1099,outfit,0.9906521
1100,athlete,0.9900464
1101,wear,0.9878907
1102,uniform,0.98535573
1103,stadium,0.98169625
1104,people,0.9797593
1105,sports equipment,0.9763093
1106,ball,0.9750681
1107,group together,0.9712597
1108,man,0.96731174
1109,action,0.96415865
1110,football,0.95975333
1111,adult,0.942604
1112,game,0.9374126
1113,many,0.92439437
1114,competition,0.99838257
1115,athlete,0.9872509
1116,sports equipment,0.9842109
1117,ball,0.97895545
1118,football,0.97890306
1119,outfit,0.9788275
1120,people,0.97665524
1121,action,0.971928
1122,uniform,0.9687002
1123,stadium,0.96560514
1124,man,0.9607308
1125,soccer,0.9589095
1126,group together,0.95861536
1127,wear,0.95821506
1128,game,0.95717597
1129,soccer player,0.9327061
1130,adult,0.928265
1131,soccer field,0.9154236
1132,competition,0.99824536
1133,uniform,0.99518216
1134,outfit,0.99453104
1135,athlete,0.9888474
1136,wear,0.98688364
1137,people,0.9829476
1138,sports equipment,0.98028076
1139,man,0.9789216
1140,stadium,0.9685542
1141,ball,0.9678576
1142,group together,0.96776724
1143,university,0.9521247
1144,baseball,0.9497565
1145,action,0.9446236
1146,game,0.92927474
1147,competition,0.9987923
1148,stadium,0.985116
1149,ball,0.9698745
1150,action,0.96802264
1151,people,0.96471775
1152,athlete,0.96000624
1153,man,0.95338726
1154,game,0.9390133
1155,motion,0.936653
1156,wear,0.91197884
1157,sports equipment,0.9051361
1158,competition,0.99962664
1159,ball,0.9946717
1160,athlete,0.9930622
1161,stadium,0.99103236
1162,game,0.99059516
1163,sport,0.99034333
1164,people,0.974588
1165,sports equipment,0.97056746
1166,action,0.9542167
1167,squad,0.9319495
1168,tennis,0.92222846
1169,adult,0.9215526
1170,motion,0.9170257
1171,group together,0.90721047
1172,baseball,0.90603125
1173,man,0.90542567
1174,competition,0.9988381
1175,sports equipment,0.9852724
1176,ball,0.98244196
1177,athlete,0.9814505
1178,stadium,0.9807681
1179,game,0.9778854
