,name,value
647,helmet,0.92335325
648,fitness,0.90223515
649,competition,0.9867094
650,athlete,0.9715501
651,adult,0.9630139
652,people,0.9575424
653,race,0.9376817
654,man,0.9356548
655,cyclist,0.92866534
656,one,0.91858965
657,vehicle,0.9012511
658,competition,0.9965683
659,race,0.9783976
660,bike,0.95454025
661,sport,0.9523976
662,championship,0.93613374
663,athlete,0.9257644
664,hurry,0.9090257
665,active,0.90035975
666,competition,0.99918926
667,bike,0.99802196
668,wheel,0.99664295
669,sport,0.9963064
670,cyclist,0.9942941
671,hurry,0.98977137
672,race,0.98881704
673,athlete,0.9850707
674,biker,0.98299557
675,ride,0.9696737
676,people,0.9664445
677,championship,0.9594505
678,motion,0.9519552
679,exercise,0.93927324
680,helmet,0.9390352
681,recreation,0.9272245
682,man,0.91718626
683,adult,0.9141737
684,active,0.9111434
685,fast,0.9083222
686,competition,0.99645567
687,race,0.99532586
688,bike,0.99096453
689,wheel,0.98113286
690,hurry,0.9740367
691,athlete,0.962325
692,cyclist,0.95780385
693,sport,0.95555156
694,championship,0.9379122
695,action,0.93504214
696,ride,0.9286186
697,motion,0.92773545
698,biker,0.9276563
699,man,0.9222994
700,architecture,0.9704858
701,city,0.9586891
702,people,0.95306146
703,building,0.95180947
704,travel,0.9332056
705,no person,0.9295348
706,tourism,0.9288789
707,street,0.92213595
708,religion,0.9077451
709,urban,0.9028423
710,tourist,0.9005022
711,bike,0.9995031
712,competition,0.9994612
713,wheel,0.99936193
714,cyclist,0.9986221
715,race,0.9983835
716,biker,0.99573195
717,ride,0.9920697
718,hurry,0.989187
719,sport,0.9890758
720,athlete,0.9840995
721,motion,0.97152793
722,helmet,0.970937
723,people,0.9647815
724,man,0.9634638
725,adult,0.9619274
726,racer,0.953094
727,seated,0.9512443
728,bicycle,0.9445221
729,championship,0.9419533
730,vehicle,0.9399575
731,water,0.9947002
732,bridge,0.9943284
733,monochrome,0.9928288
734,fog,0.98985094
735,winter,0.9869361
736,no person,0.98563135
737,river,0.9801163
738,dam,0.97934294
739,lake,0.97612727
740,landscape,0.9726509
741,snow,0.96650666
742,architecture,0.9579602
743,dawn,0.9566963
744,reflection,0.95319515
